Xgboost_0,Xgboost_1,Xgboost_2,Xgboost_3,Xgboost_4
0.17704311,0.003740182,0.012412653,0.00048719245,0.8063169
0.103142224,0.85382986,0.036741752,0.004627769,0.0016584022
0.0040135984,0.004904111,0.005874739,0.14969552,0.83551204
0.21147834,0.27095562,0.4626687,0.050977495,0.0039198683
0.00060618756,0.01727651,0.00018052472,3.633603e-05,0.9819004
0.026949266,0.013193412,0.014425607,0.944712,0.00071973633
0.26414087,0.02332952,0.5885982,0.12077095,0.0031604455
0.00462527,0.5277504,0.016031567,0.0012202621,0.45037252
0.039381426,0.0029622812,0.0059480905,3.770315e-05,0.95167047
0.022908598,0.0023741114,0.9452101,0.0005599559,0.028947253
0.0007367668,0.0009035122,0.00070302916,0.86921835,0.1284384
0.21785101,0.4608593,0.3124538,0.0025678535,0.0062680803
0.38445354,0.024239201,0.5843257,0.003437744,0.0035438405
0.06476847,0.00034300424,5.0163922e-05,3.604004e-05,0.9348023
0.2073812,0.606029,0.13401707,0.0496288,0.0029439402
0.0015337324,0.0017852745,0.0023165494,0.79694265,0.19742177
0.938535,0.023863835,0.0019686078,0.0013799497,0.03425266
0.038009323,0.0023482062,0.9502712,6.593443e-05,0.009305333
0.104424894,0.8448565,0.03519687,0.013886551,0.001635143
0.255911,0.005773448,0.0017230487,0.00025567808,0.7363368
0.72808355,0.24319726,0.0226669,0.0044187666,0.0016335178
0.001129721,0.0015763851,0.97685504,0.00084748503,0.019591358
0.8274099,0.011304273,0.030564545,0.002158477,0.12856275
0.21423751,0.003906413,0.008322538,0.00035714742,0.7731764
0.97448313,0.0032684393,0.015497444,0.005748768,0.0010022094
0.09056404,0.0029248004,0.00021693067,8.808793e-05,0.90620613
0.008913169,0.9465741,0.0003452937,0.000540521,0.04362694
0.2914041,0.15292971,0.22070847,0.31396013,0.02099761
0.62696004,0.23809442,0.12404426,0.008510663,0.002390622
0.014276461,0.0008794768,0.0018138872,0.9826377,0.000392446
0.003302682,0.98660314,0.00024050103,5.4300363e-05,0.009799378
0.9755196,0.005259377,0.01458399,0.0021596064,0.0024774477
0.9742441,0.0016271161,0.00052088895,0.00020496197,0.023402972
0.032333415,0.0008007481,0.004028996,0.00012509036,0.96271175
0.2660463,0.5667534,0.16219813,0.0020913207,0.0029108406
0.9839806,0.0040389895,0.006089251,0.00011530445,0.005775783
0.0070634843,0.0007528454,0.0026542803,0.98916596,0.0003634691
0.0041314606,0.00027680883,0.0021912996,0.9932272,0.00017331343
0.0986386,0.03062073,0.14781743,0.720987,0.0019362657
0.031872004,0.009377229,0.004085808,0.9541628,0.0005021823
0.9930797,0.0021990777,0.0031270743,0.00063631416,0.00095783925
0.4495159,0.38321665,0.041575663,0.123125516,0.0025662447
0.18238892,0.6586264,0.15562358,0.0012434095,0.0021177174
0.3007498,0.01071458,0.021515436,0.0006130982,0.66640705
0.34320036,0.0944134,0.55771846,0.0011596673,0.0035081392
0.62988245,0.0077112494,0.0026250256,0.0016367459,0.35814452
0.0027167911,0.00084700657,0.0019467323,0.9565664,0.037923116
0.32286462,0.57177883,0.0764872,0.020881023,0.007988315
0.0020407806,0.0012405737,0.0021715441,0.9826727,0.011874412
0.9710236,0.003323698,0.004263299,0.000345443,0.021043899
0.09443312,0.0027818477,0.0016097982,0.00014348685,0.90103173
0.6423318,0.007646622,0.0014988959,0.0008083431,0.3477144
0.00990724,0.00060203276,0.0016037435,0.9877424,0.00014453554
0.1827099,0.53614944,0.18877356,0.0892462,0.0031209022
0.009135494,0.0028164983,0.011414436,0.97625494,0.00037861848
0.057742953,0.05122907,0.09306999,0.79636186,0.0015961251
0.093527555,0.0026682736,0.0025346894,6.3858504e-05,0.90120566
0.0017777876,0.04935561,0.0026266205,0.00079990487,0.94544005
0.0010009469,0.033221915,0.00010208645,6.938843e-05,0.9656056
0.94782495,0.019550974,0.01322785,0.003766521,0.015629703
0.38128656,0.0025607045,0.00080878776,0.00029083586,0.6150531
0.20416553,0.6968892,0.037615046,0.053167887,0.00816233
0.23638073,0.40120772,0.35608402,0.0038664765,0.0024610877
0.2146835,0.35645956,0.39680377,0.027872363,0.0041807834
0.43082914,0.43470916,0.13086301,0.0018057413,0.0017928847
0.11682153,0.4575104,0.098767176,0.32568905,0.0012118298
0.0003806328,0.0095361825,0.00031294028,0.00014277268,0.9896275
0.008137742,0.0051176706,0.23545507,0.00087628537,0.7504132
0.0018569776,0.91800165,0.0034504766,0.002868167,0.07382271
0.00051466166,0.98443407,0.0012063321,0.00015177242,0.013693195
0.09237554,0.0017726853,0.00032496237,6.642778e-05,0.9054604
0.20934069,0.55989385,0.19442442,0.03416424,0.0021768038
