RF_0,RF_1,RF_2,RF_3,RF_4
0.1450858346126334,0.22063470887948608,0.32889953990205567,0.15989259577930967,0.1454873208265151
0.46328189971772366,0.1542074392729414,0.11773129708095724,0.003351077046062901,0.26142828688231484
0.295519922400712,0.14744957149682084,0.0766976954862742,0.09756852392396304,0.38276428669222995
0.11710696497184393,0.6747829659448393,0.09681204942508208,0.009879621566950634,0.10141839809128396
0.4738548913728614,0.2277063102706012,0.1579118580563641,0.017585083631060476,0.12294185666911286
0.041494984884145054,0.22156476444124454,0.19817864335804633,0.007219590956792682,0.5315420163597715
0.05806077198678032,0.08298838337293685,0.04023804906837719,0.7339475294540516,0.08476526611785387
0.2635570555000295,0.4644070011051075,0.09334401566911749,0.010468977655425751,0.16822295007031957
0.3030607617794676,0.45119102763264896,0.09671390513249568,0.005448869199926491,0.14358543625546125
0.3844198397051823,0.33290787109936815,0.15664418050822387,0.016435350563850714,0.10959275812337504
0.28690095045281966,0.20602589546340438,0.1836846381668267,0.12199453279033562,0.20139398312661372
0.11851839830512324,0.6171083667772311,0.12611436300081755,0.026377436670071527,0.11188143524675657
0.46408627758183274,0.3098054791335309,0.12076883960927204,0.0065148923768060165,0.09882451129855824
0.3369046931311084,0.34034194095689174,0.136561887368799,0.009324785370481516,0.17686669317271891
0.1986402903786938,0.19833801513005345,0.28446813424375467,0.2088226409351186,0.1097309193123794
0.12616609885172358,0.29329076426962614,0.41912443782659886,0.02136786266697791,0.14005083638507348
0.39353922794441265,0.3103805479338872,0.14816809228310007,0.005231712512826194,0.1426804193257739
0.2876049368835271,0.2067782778945998,0.07147986966971927,0.024201357579782416,0.4099355579723715
0.9372283354925476,0.0037469061223300557,0.023764554189731505,0.0004108694429503827,0.03484933475244021
0.10112941340793252,0.03706052828642387,0.08495695149407528,0.5743376735486095,0.20251543326295882
0.11642460299974616,0.07543805919629903,0.11513245023031363,0.0017519841269841268,0.691252903446657
0.5112189666142988,0.07072894759415684,0.1158717780431076,0.20188530238622923,0.10029500536220745
0.28384431278531125,0.17279820605288318,0.07382795340478515,0.003048453943382565,0.46648107381363796
0.10893291894664453,0.3697467221747142,0.07485585108095122,0.0070263569308253535,0.4394381508668645
0.5543113708741704,0.09170576006345614,0.08110334067226767,0.010759508518764793,0.2621200198713409
0.1265174444581854,0.13486998543125137,0.10172982201916518,0.009320439082133418,0.6275623090092646
0.17298200019668225,0.40560924805057347,0.18965058110350344,0.04710187727576769,0.18465629337347284
0.6410122029490549,0.11083334342788183,0.10796081729641197,0.019202680726262574,0.12099095560038858
0.12410582220534067,0.3702791742007795,0.20381693778520446,0.1327353622851531,0.16906270352352215
