household_id,person_id,LONGDIST,main_mode_of_transport,international_trip,num_people_on_long_distance_trip,person_1_on_long_distance_trip,person_2_on_long_distance_trip,person_3_on_long_distance_trip,person_4_on_long_distance_trip,person_5_on_long_distance_trip,person_6_on_long_distance_trip,person_7_on_long_distance_trip,person_8_on_long_distance_trip,person_9_on_long_distance_trip,person_10_on_long_distance_trip,reason_for_travel,num_used_amtrak_last_year,num_used_intracity_bus_last_year,long_distance_trip,begin_trip_date,ENDTRIP,num_nights_away_from_home,trip_includes_weekend,date_of_most_recent_trip,farthest_census_division_traveled,farthest_census_region_traveled,great_circle_distance_traveled,airport_size,exit_census_division,great_circle_distance_longer_than_50_miles,num_adults_in_household,own_or_rent_home,metro_rail_status,census_division,census_region,hispanic,num_drivers_in_household,household_grouping,household_income,household_income_imputed,race,household_size,num_vehicles_in_household,LIF_CYC,metro_area_category,metro_area_size,travel_day_of_week,household_urban_classification,household_urban_size,household_urban_rural,travel_day_date,WRKCOUNT,household_stratum_id,person_weight_7_day,person_weight_5_day,person_weight_2_day,respondent_age,respondent_sex,worker_status,DRIVER,respondent_race,respondent_hispanic,proxy_respondent,education_level,respondent_sex_imputed
9000147369,01,4,14,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,03,2,0,02,202210,202210,17,03,202210,02,01,2399.135043,-1,-1,01,2,01,01,09,04,02,2,91,07,07,01,2,2,10,01,05,03,01,03,01,202211,0,1037,3276.8813457,4564.8259398,0,74,01,02,01,01,02,01,05,01
9000147369,02,4,14,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,03,2,0,02,202210,202210,20,03,202210,02,01,2399.135043,-1,-1,01,2,01,01,09,04,02,2,91,07,07,01,2,2,10,01,05,03,01,03,01,202211,0,1037,4198.4752918,6358.6456215,0,75,02,02,01,01,02,02,05,02
9000147378,01,2,03,01,3,01,02,01,01,-9,-9,-9,-9,-9,-9,02,0,0,02,202211,202211,2,01,202211,05,03,93.21311046,-1,-1,01,2,01,02,05,03,02,2,52,11,11,02,4,3,04,02,04,01,01,05,01,202211,2,1030,20027.522175,0,51017.5909557385,40,02,01,01,02,02,01,07,02
9000147378,02,0,14,01,1,02,01,02,02,-9,-9,-9,-9,-9,-9,03,0,0,02,-9,-9,-9,-9,-9,05,03,645.3466583,-1,-1,01,2,01,02,05,03,02,2,52,11,11,02,4,3,04,02,04,01,01,05,01,202211,2,1030,30948.638054,0,78019.3988544192,21,02,01,01,02,02,01,04,02
9000147378,03,2,03,01,3,01,02,01,01,-9,-9,-9,-9,-9,-9,02,0,0,02,202211,202211,2,01,202211,05,03,93.21311046,-1,-1,01,2,01,02,05,03,02,2,52,11,11,02,4,3,04,02,04,01,01,05,01,202211,2,1030,22954.703907,0,79790.891842367,5,01,-1,-1,02,02,02,-1,01
9000147381,01,1,04,01,1,01,02,02,02,02,-9,-9,-9,-9,-9,01,0,0,02,202210,202210,0,03,202210,08,04,25.14946852,-1,-1,02,3,02,02,08,04,01,4,82,06,06,01,5,3,06,02,05,06,01,05,01,202210,3,1035,88131.526349,131891.56079,0,51,01,01,01,01,01,01,05,01
9000147381,02,0,01,01,5,01,01,01,01,01,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,09,04,297.3903035,-1,-1,01,3,02,02,08,04,01,4,82,06,06,01,5,3,06,02,05,06,01,05,01,202210,3,1035,116596.65454,182786.15692,0,46,02,01,01,01,01,02,03,02
9000147381,03,0,01,01,5,01,01,01,01,01,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,09,04,297.3903035,-1,-1,01,3,02,02,08,04,01,4,82,06,06,01,5,3,06,02,05,06,01,05,01,202210,3,1035,62960.968146,121490.11035,0,70,02,01,01,01,01,02,01,02
9000147381,04,0,01,01,5,01,01,01,01,01,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,09,04,297.3903035,-1,-1,01,3,02,02,08,04,01,4,82,06,06,01,5,3,06,02,05,06,01,05,01,202210,3,1035,92124.73046,123437.69631,0,16,01,02,01,01,01,02,02,01
9000147381,05,0,01,01,5,01,01,01,01,01,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,09,04,297.3903035,-1,-1,01,3,02,02,08,04,01,4,82,06,06,01,5,3,06,02,05,06,01,05,01,202210,3,1035,85270.741545,115714.89529,0,13,01,-1,-1,01,01,02,-1,01
9000147384,01,0,14,01,1,01,-9,-9,-9,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,03,02,1773.317604,-1,-1,01,1,02,02,08,04,02,1,82,06,06,01,1,1,09,02,05,03,01,05,01,202211,1,1035,5720.8881529,6294.0800144,0,66,-7,01,01,01,02,01,06,01
