Max Depth,Testing Accuracy
1,0.35829307568438
2,0.4537842190016103
3,0.49066022544283416
4,0.5090177133655395
5,0.549597423510467
6,0.5676328502415459
7,0.5908212560386473
8,0.6223832528180354
9,0.6392914653784219
10,0.6642512077294686
11,0.6893719806763285
12,0.7032206119162641
13,0.7180354267310789
14,0.7381642512077294
