NN_0,NN_1,NN_2,NN_3,NN_4
0.11504484,0.049764868,0.7825896,0.041165475,0.011435123
0.5957849,0.20014429,0.1788334,7.3988886e-05,0.025163421
0.5882227,5.108841e-05,0.009411593,0.012721708,0.38959295
0.018249128,0.58568704,0.0043827123,1.30520375e-05,0.39166805
0.7831492,0.16025503,0.02245717,0.0005762704,0.033562325
0.022481099,0.012360867,0.8316513,0.0024238485,0.13108286
0.18039213,0.0017844315,0.010211984,0.8066982,0.0009132517
0.08099506,0.4913083,8.6713726e-07,4.5132637e-07,0.42769536
0.003330954,0.7955788,1.0915627e-07,1.5708822e-07,0.20108993
0.39969742,0.29375625,0.28622326,0.004753379,0.0155697465
0.56050926,6.113368e-05,0.008554361,0.013365211,0.41751006
0.0049963878,0.69234645,1.8042115e-07,4.180508e-07,0.30265662
0.42612335,0.27093634,0.016441807,0.00038625541,0.2861123
0.45187542,0.32767516,0.19448681,0.0026036152,0.023358982
0.27680174,0.0891194,0.45309344,0.17310135,0.007884143
0.031906746,0.004848512,0.8097189,0.0024306453,0.15109517
0.6156275,0.00014167567,0.016764615,0.0018707728,0.3655955
0.51529455,2.4865574e-05,0.02830762,0.00039870036,0.45597425
0.98543406,0.0008566372,0.010621342,0.0012458316,0.0018422069
0.30103502,0.006436052,0.18752518,0.46517465,0.039829098
0.14695694,0.0009700859,0.26960206,0.00055304565,0.5819179
0.5364512,0.00020078823,0.011768295,0.045610867,0.40596887
0.19187553,0.38756415,2.9776368e-06,1.778268e-07,0.42055723
0.004872755,0.38075465,0.019897953,1.6188598e-05,0.59445846
0.35067177,0.0003227545,6.807974e-05,4.640374e-08,0.6489373
0.075034566,0.02611334,0.5921741,0.016217085,0.29046085
0.006454437,0.744605,2.93668e-07,6.633619e-07,0.2489397
0.96928656,0.002255811,0.026106302,0.00059201784,0.0017592909
0.012155097,0.038062673,0.6524008,0.01262984,0.28475165
0.008237175,0.7766622,2.3239542e-07,2.5843627e-07,0.21510014
0.4856225,4.1563828e-05,0.00021327753,2.201117e-05,0.5141007
0.98286116,0.0016332442,0.01476276,0.00037395937,0.0003689507
0.7249007,0.00041237526,0.0015837038,1.5158456e-05,0.27308804
0.32885796,0.00053319737,0.0034417734,0.66662526,0.00054180017
0.10767794,0.003121546,0.6815504,0.008141584,0.1995086
0.0055112517,0.70301443,2.0119022e-07,7.00015e-07,0.29147342
0.20702232,0.0552933,0.5118828,0.20872699,0.017074615
0.15933259,0.015152382,0.42566586,0.020838281,0.37901098
0.94626606,0.003021174,9.671104e-06,1.584307e-08,0.05070303
0.568797,0.1406929,0.27628866,0.0032986375,0.010922884
0.3465333,0.3805685,0.25143582,0.0021698647,0.019292433
0.5912493,3.5171986e-05,0.036086425,0.0010043815,0.37162474
0.28540653,0.13095088,0.5676026,0.0032440592,0.012795951
0.3387205,0.018133326,0.055785064,0.00878734,0.57857376
0.060710307,0.5548122,1.9918175e-06,1.1577741e-06,0.38447437
0.061759986,1.9696001e-06,0.37953186,4.6248742e-06,0.5587015
0.96172124,0.0035150445,0.019537404,0.0008724262,0.014353859
0.5557827,0.0041414234,0.00016376942,2.3013721e-05,0.43988913
