learning_rate,hidden_units,dropout,activation,train_accuracy,test_accuracy,train_loss,test_loss
0.1,512,0.0,relu,0.31000000834465025,0.31726247668266294,605.6103637695312,599.2914611816407
0.1,512,0.0,sigmoid,0.2197262465953827,0.21784218847751619,3.702923583984375,3.711316967010498
0.1,512,0.0,tanh,0.44319645762443544,0.4369726300239563,1.9510962963104248,1.9850709199905396
0.1,512,0.1,relu,0.3225040227174759,0.32180353701114656,692.1042602539062,691.9659057617188
0.1,512,0.1,sigmoid,0.21566827595233917,0.21262479722499847,4.489251518249512,4.503798198699951
0.1,512,0.1,tanh,0.364533007144928,0.36318840384483336,2.3337374687194825,2.3437123537063598
0.1,512,0.2,relu,0.37044283747673035,0.367793881893158,503.59766845703126,506.48528442382815
0.1,512,0.2,sigmoid,0.2523027420043945,0.2515297919511795,3.4724530220031737,3.470407724380493
0.1,512,0.2,tanh,0.3928582966327667,0.39185184240341187,2.551913523674011,2.575563645362854
0.1,512,0.3,relu,0.35587761998176576,0.3497906506061554,390.74354858398436,395.55186157226564
0.1,512,0.3,sigmoid,0.14834138751029968,0.14914653897285463,4.24389066696167,4.241931200027466
0.1,512,0.3,tanh,0.38082125782966614,0.38109501004219054,2.3882593870162965,2.382409691810608
0.1,256,0.0,relu,0.36231884360313416,0.35980676412582396,208.49127960205078,208.4602508544922
0.1,256,0.0,sigmoid,0.2689774602651596,0.26895330250263216,2.413222146034241,2.413801741600037
0.1,256,0.0,tanh,0.39392109513282775,0.3902415484189987,2.3367727994918823,2.3518353700637817
0.1,256,0.1,relu,0.3493880808353424,0.35568438172340394,184.19010314941406,184.45330810546875
0.1,256,0.1,sigmoid,0.22954911589622498,0.22921094596385955,2.180493474006653,2.179840636253357
0.1,256,0.1,tanh,0.4253140091896057,0.422576493024826,1.9377983570098878,1.949018931388855
0.1,256,0.2,relu,0.30747987926006315,0.30653783679008484,245.68854370117188,244.47683715820312
0.1,256,0.2,sigmoid,0.2860064387321472,0.2828341394662857,1.9032385110855103,1.9219338178634644
0.1,256,0.2,tanh,0.35170691907405854,0.350756847858429,2.5065267086029053,2.515066695213318
0.1,256,0.3,relu,0.3597826063632965,0.36367149353027345,285.22503051757815,284.4755798339844
0.1,256,0.3,sigmoid,0.26789855062961576,0.26714976131916046,2.1986249923706054,2.2044413089752197
0.1,256,0.3,tanh,0.3941948413848877,0.3971980631351471,2.2646734714508057,2.262207007408142
0.1,128,0.0,relu,0.31615942120552065,0.3153945326805115,131.0447570800781,131.89076232910156
0.1,128,0.0,sigmoid,0.18925925791263581,0.19771336615085602,1.9593592405319213,1.9441211938858032
0.1,128,0.0,tanh,0.4445732593536377,0.44180354475975037,1.730952215194702,1.7586796522140502
0.1,128,0.1,relu,0.38464573621749876,0.38872785568237306,149.13173065185546,148.81365814208985
0.1,128,0.1,sigmoid,0.2789774537086487,0.27951690554618835,1.7578747510910033,1.7597276449203492
